evaluate_num,episode,total_steps,mu_s,mu_c,eval_reward,eval_F_comm,eval_P_s,eval_P_c,eval_mu_s_P_s,eval_mu_c_P_c,eval_reconstructed_reward,eval_reward_reconstruct_error,eval_avg_slot_reward,eval_avg_F_comm,eval_avg_P_s,eval_avg_P_c,eval_avg_mu_s_P_s,eval_avg_mu_c_P_c,eval_gamma_s,eval_times,eval_steps_per_episode
24,2400,60000,1.0,1.0,84874.89147949219,120079.29248046875,-26554.187744140625,-8650.213882446289,-26554.187744140625,-8650.213882446289,84874.89085388184,0.0006256103515625,3394.9956591796877,4803.17169921875,-1062.167509765625,-346.0085552978515,-1062.167509765625,-346.0085552978515,1967.9563525390624,3,25
25,2500,62500,1.0,1.0,84874.9208984375,120079.33642578125,-26554.187744140625,-8650.228622436523,-26554.187744140625,-8650.228622436523,84874.9200592041,0.0008392333984375,3394.9968359375,4803.17345703125,-1062.167509765625,-346.009144897461,-1062.167509765625,-346.009144897461,1967.9563525390624,3,25
26,2600,65000,1.0,1.0,85690.46630859375,120982.47778320312,-26554.247802734375,-8737.764541625977,-26554.247802734375,-8737.764541625977,85690.46543884277,0.0008697509765625,3427.61865234375,4839.299111328125,-1062.169912109375,-349.51058166503907,-1062.169912109375,-349.51058166503907,1967.9539404296875,3,25
27,2700,67500,1.0,1.0,85690.46557617188,120982.46606445312,-26554.247802734375,-8737.75325012207,-26554.247802734375,-8737.75325012207,85690.46501159668,0.0005645751953125,3427.618623046875,4839.298642578125,-1062.169912109375,-349.5101300048828,-1062.169912109375,-349.5101300048828,1967.9539404296875,3,25
28,2800,70000,1.0,1.0,86634.15551757812,122052.291015625,-26554.246826171875,-8863.889190673828,-26554.246826171875,-8863.889190673828,86634.1549987793,0.000518798828125,3465.366220703125,4882.091640625,-1062.169873046875,-354.55556762695306,-1062.169873046875,-354.55556762695306,1967.9540270996094,3,25
29,2900,72500,1.0,1.0,87231.04833984375,122690.30541992188,-26554.216552734375,-8905.040222167969,-26554.216552734375,-8905.040222167969,87231.04864501953,-0.00030517578125,3489.24193359375,4907.612216796875,-1062.168662109375,-356.20160888671876,-1062.168662109375,-356.20160888671876,1967.9552209472656,3,25
30,3000,75000,1.0,1.0,87231.04858398438,122690.29711914062,-26554.216552734375,-8905.03254699707,-26554.216552734375,-8905.03254699707,87231.04801940918,0.0005645751953125,3489.241943359375,4907.611884765625,-1062.168662109375,-356.2013018798828,-1062.168662109375,-356.2013018798828,1967.9552209472656,3,25
31,3100,77500,1.0,1.0,87878.70263671875,123401.20703125,-26554.207397460938,-8968.297164916992,-26554.207397460938,-8968.297164916992,87878.70246887207,0.0001678466796875,3515.14810546875,4936.04828125,-1062.1682958984375,-358.7318865966797,-1062.1682958984375,-358.7318865966797,1967.955572509766,3,25
32,3200,80000,1.0,1.0,88072.70727539062,123781.60400390625,-26554.199462890625,-9154.698303222656,-26554.199462890625,-9154.698303222656,88072.70623779297,0.00103759765625,3522.908291015625,4951.26416015625,-1062.167978515625,-366.1879321289063,-1062.167978515625,-366.1879321289063,1967.9558850097656,3,25
33,3300,82500,1.0,1.0,88072.70654296875,123781.5908203125,-26554.199462890625,-9154.685501098633,-26554.199462890625,-9154.685501098633,88072.70585632324,0.0006866455078125,3522.90826171875,4951.2636328125,-1062.167978515625,-366.18742004394534,-1062.167978515625,-366.18742004394534,1967.9558850097656,3,25
