episode,total_reward,steps
479,71178.68310546875,25
480,70698.1337890625,25
481,70897.66625976562,25
482,71162.6787109375,25
483,70394.18432617188,25
484,70832.37377929688,25
485,70620.015625,25
486,70689.88232421875,25
487,70513.6083984375,25
488,70654.28100585938,25
489,70714.84423828125,25
490,70929.9580078125,25
491,70853.59765625,25
492,70431.98779296875,25
493,70668.0048828125,25
494,70975.45727539062,25
495,70688.5556640625,25
496,70446.59619140625,25
497,70455.90893554688,25
498,70915.09790039062,25
499,70764.87963867188,25
500,70639.34521484375,25
501,70880.1044921875,25
502,70316.25415039062,25
503,70494.86572265625,25
504,70444.01196289062,25
505,70393.0869140625,25
506,70922.9638671875,25
507,71195.70874023438,25
508,70941.99072265625,25
509,70557.93017578125,25
510,71122.48022460938,25
511,70845.19506835938,25
512,70859.60791015625,25
513,71039.35498046875,25
514,70559.10424804688,25
515,70310.65478515625,25
516,70831.6591796875,25
517,70341.81274414062,25
518,70825.681640625,25
519,70379.525390625,25
520,70949.55834960938,25
521,70620.400390625,25
522,70734.19189453125,25
523,70632.65747070312,25
524,70748.7275390625,25
525,71327.71606445312,25
526,70964.82666015625,25
527,71136.0703125,25
528,70667.43774414062,25
529,70741.34521484375,25
530,70268.5341796875,25
531,70755.5009765625,25
532,70600.72631835938,25
533,70773.17114257812,25
534,70325.3349609375,25
535,70740.82495117188,25
536,70806.59204101562,25
537,70455.99584960938,25
538,70831.40698242188,25
539,70748.2548828125,25
540,70824.2216796875,25
541,71175.61669921875,25
542,70708.59765625,25
543,70709.83471679688,25
544,70761.92822265625,25
545,70544.46142578125,25
546,70838.92651367188,25
547,70560.142578125,25
548,70711.68359375,25
549,70995.91650390625,25
550,70618.2587890625,25
551,70631.39111328125,25
552,70781.10620117188,25
553,71213.05102539062,25
554,71050.77075195312,25
555,70364.70068359375,25
556,70653.57397460938,25
557,70904.41772460938,25
558,70382.92846679688,25
559,70745.39526367188,25
560,70779.4111328125,25
561,71015.82250976562,25
562,70729.99462890625,25
563,70846.48413085938,25
564,70468.90478515625,25
565,70998.12646484375,25
566,71144.18872070312,25
567,70550.29272460938,25
568,70612.4716796875,25
569,70464.4931640625,25
570,70716.19360351562,25
571,70511.27319335938,25
572,70944.03149414062,25
573,70850.3037109375,25
574,71218.94995117188,25
575,70629.34204101562,25
576,70377.33837890625,25
577,70616.43676757812,25
578,70772.86328125,25
579,70562.07763671875,25
580,70959.87841796875,25
581,70912.697265625,25
582,70678.01098632812,25
583,71044.61206054688,25
584,70178.30590820312,25
585,70753.3310546875,25
586,70677.46240234375,25
587,71087.18774414062,25
