episode,step,reward
21,18,2752.658447265625
21,19,2891.433349609375
21,20,3106.418212890625
21,21,3252.423583984375
21,22,2137.63818359375
21,23,3175.351318359375
21,24,2573.740234375
21,25,3295.324951171875
22,1,2738.04296875
22,2,2345.025634765625
22,3,2520.6669921875
22,4,2862.411865234375
22,5,2602.177001953125
22,6,2673.303955078125
22,7,2516.2021484375
22,8,3524.5771484375
22,9,3185.59716796875
22,10,2746.8349609375
22,11,3387.337890625
22,12,2639.363037109375
22,13,3088.25830078125
22,14,3201.51416015625
22,15,2868.131103515625
22,16,3223.896484375
22,17,2638.7880859375
22,18,2515.3388671875
22,19,2731.55078125
22,20,3131.4892578125
22,21,2960.25439453125
22,22,2524.2724609375
22,23,3185.830322265625
22,24,2821.089599609375
22,25,2815.474853515625
23,1,2971.3505859375
23,2,3314.040771484375
23,3,2895.080078125
23,4,2963.745849609375
23,5,2724.692138671875
23,6,2872.669189453125
23,7,3435.3623046875
23,8,2508.2119140625
23,9,3206.720947265625
23,10,3154.017333984375
23,11,3640.37646484375
23,12,2899.0
23,13,4054.22216796875
23,14,3140.64599609375
23,15,2775.6708984375
23,16,3077.27490234375
23,17,2974.790771484375
23,18,2862.38134765625
23,19,2757.4794921875
23,20,3188.143798828125
23,21,3503.71630859375
23,22,3251.316650390625
23,23,3568.58251953125
23,24,2760.12158203125
23,25,2894.910400390625
24,1,2602.6416015625
24,2,3401.72900390625
24,3,2298.478759765625
24,4,2723.27099609375
24,5,2638.40234375
24,6,3003.214599609375
24,7,2823.223388671875
24,8,2414.105712890625
24,9,2589.4052734375
24,10,2905.012451171875
24,11,3254.77978515625
24,12,3164.54150390625
24,13,3452.455322265625
24,14,2765.06787109375
24,15,2848.119384765625
24,16,2916.9892578125
24,17,2802.139404296875
24,18,2887.618408203125
24,19,2498.716796875
24,20,2323.615966796875
24,21,3059.738037109375
24,22,3134.307373046875
24,23,3142.714111328125
24,24,3183.433837890625
24,25,2799.127685546875
25,1,3152.258056640625
25,2,2458.27783203125
25,3,2934.15185546875
25,4,3228.39453125
25,5,2874.319580078125
25,6,3673.1826171875
25,7,2734.45263671875
25,8,2876.3720703125
25,9,3381.563232421875
25,10,2727.99462890625
25,11,2943.143798828125
25,12,2726.975830078125
25,13,2969.26171875
25,14,3506.574951171875
25,15,2988.623046875
25,16,3381.51416015625
25,17,2507.10107421875
25,18,2783.842041015625
25,19,2488.17919921875
25,20,2957.011474609375
25,21,2956.7431640625
25,22,3346.4921875
25,23,3313.818359375
25,24,2753.430908203125
25,25,2775.634765625
26,1,2908.166015625
26,2,3267.7958984375
26,3,3132.3203125
26,4,3351.868896484375
26,5,3250.630615234375
26,6,2700.825927734375
26,7,3304.4951171875
26,8,3218.010986328125
26,9,2507.048583984375
26,10,3050.34619140625
26,11,2822.781005859375
26,12,2888.466796875
26,13,3119.906494140625
26,14,3684.88916015625
26,15,3624.57080078125
26,16,3444.46044921875
26,17,2609.884033203125
26,18,2444.312744140625
26,19,3405.131103515625
26,20,3071.085205078125
26,21,2939.880126953125
26,22,3102.980712890625
26,23,3306.7578125
26,24,3248.77099609375
26,25,3497.175537109375
27,1,3569.647216796875
27,2,3192.715087890625
27,3,2601.061279296875
27,4,2832.655029296875
27,5,2981.51123046875
27,6,3495.5859375
27,7,2790.047119140625
27,8,2668.8017578125
27,9,3030.0732421875
27,10,2684.132568359375
27,11,2855.153076171875
27,12,3284.70361328125
27,13,3613.91015625
27,14,2748.60986328125
27,15,3082.686279296875
27,16,3099.130615234375
27,17,2880.767822265625
27,18,3039.25390625
27,19,2739.98095703125
27,20,2495.73876953125
27,21,3264.46337890625
27,22,3232.59619140625
27,23,2540.71142578125
27,24,2498.95556640625
27,25,2934.7294921875
28,1,2643.217041015625
28,2,2845.9423828125
28,3,3110.524658203125
28,4,2349.0546875
28,5,3442.929931640625
28,6,3065.072998046875
28,7,3512.542724609375
28,8,2847.8876953125
28,9,3455.912353515625
28,10,3349.08984375
28,11,3630.983154296875
28,12,3484.10791015625
28,13,3445.787353515625
28,14,3205.66015625
28,15,3344.906982421875
28,16,3072.7685546875
28,17,2425.58984375
28,18,2955.444580078125
28,19,2565.192626953125
28,20,3007.87890625
28,21,2863.61181640625
28,22,2923.221435546875
28,23,2659.116943359375
28,24,3001.13134765625
28,25,2838.12255859375
29,1,2843.495849609375
29,2,2773.99365234375
29,3,2961.1494140625
29,4,2788.71533203125
29,5,2983.74609375
29,6,2876.234130859375
29,7,3321.0380859375
29,8,2753.7666015625
29,9,3091.539794921875
29,10,3139.896728515625
29,11,3246.380615234375
29,12,3676.28271484375
29,13,2899.110107421875
29,14,3597.3662109375
29,15,3287.508056640625
29,16,3136.135986328125
29,17,2540.26025390625
29,18,2670.291259765625
29,19,2776.698486328125
29,20,2992.369873046875
29,21,2907.33837890625
29,22,3254.294189453125
29,23,3057.799560546875
29,24,3222.433349609375
29,25,3367.47509765625
30,1,2716.394775390625
30,2,3016.978759765625
30,3,2615.3076171875
30,4,3110.507080078125
30,5,2896.343505859375
30,6,2703.07568359375
30,7,2787.656982421875
30,8,3261.07958984375
30,9,2300.244873046875
30,10,3077.106689453125
30,11,3131.760009765625
30,12,3109.169921875
30,13,3354.302978515625
30,14,3184.7783203125
30,15,2793.255615234375
30,16,3206.19140625
30,17,2900.71142578125
30,18,2631.328125
30,19,3177.23779296875
30,20,3374.51318359375
30,21,3011.69482421875
30,22,2986.09130859375
30,23,2924.986328125
30,24,3159.919189453125
30,25,2944.316162109375
31,1,2538.81591796875
31,2,2962.76025390625
31,3,2984.251220703125
31,4,2646.909423828125
31,5,2997.522705078125
31,6,2948.904541015625
31,7,2860.28955078125
31,8,2842.81787109375
31,9,2733.693115234375
31,10,3092.5244140625
31,11,2898.268798828125
31,12,3611.900634765625
31,13,2843.91064453125
31,14,3168.67626953125
31,15,3062.806884765625
31,16,3453.64013671875
31,17,2637.98876953125
31,18,2793.25146484375
31,19,3412.919677734375
31,20,3062.300048828125
31,21,3226.267578125
31,22,2618.16552734375
31,23,2606.882080078125
31,24,2660.090087890625
31,25,3546.408203125
32,1,2589.771728515625
32,2,3364.6318359375
32,3,2938.6455078125
32,4,3147.349853515625
32,5,3020.18701171875
32,6,2736.58984375
32,7,2734.9130859375
32,8,2899.147216796875
32,9,2791.01953125
32,10,3287.54296875
32,11,3182.39892578125
32,12,3089.63623046875
32,13,3080.701416015625
32,14,3288.748291015625
32,15,3110.775390625
32,16,3047.135986328125
32,17,2718.7548828125
32,18,2655.318359375
32,19,3565.6953125
32,20,3264.677978515625
32,21,3144.1845703125
32,22,3176.92529296875
32,23,3479.545166015625
32,24,2779.156982421875
32,25,3116.16552734375
33,1,2888.981201171875
33,2,3568.474365234375
33,3,2697.30224609375
33,4,3160.770751953125
33,5,3599.51953125
33,6,2889.0029296875
33,7,3404.4609375
33,8,2726.900390625
33,9,3000.885498046875
33,10,3056.041015625
33,11,2784.61376953125
33,12,2970.6337890625
33,13,3172.8154296875
33,14,3340.581298828125
33,15,3529.5419921875
33,16,2919.873291015625
33,17,2628.02783203125
33,18,2479.5810546875
33,19,3144.7451171875
33,20,2575.833740234375
33,21,2922.2890625
33,22,3020.0751953125
33,23,3344.880859375
33,24,3088.795166015625
33,25,2875.0830078125
34,1,2862.05078125
34,2,3103.414794921875
34,3,3311.596435546875
34,4,3706.77490234375
34,5,3386.009033203125
34,6,2810.7998046875
34,7,2965.647216796875
34,8,2786.941162109375
34,9,2975.677490234375
34,10,3100.05078125
34,11,3535.322021484375
34,12,3294.113525390625
34,13,3993.219970703125
34,14,2496.024658203125
34,15,3183.41845703125
34,16,3011.55908203125
34,17,3449.6494140625
34,18,3006.852783203125
34,19,3308.5703125
34,20,2491.90966796875
34,21,3040.939453125
34,22,2680.596923828125
34,23,3142.30517578125
34,24,2633.857421875
34,25,2778.58251953125
35,1,3228.7587890625
35,2,3354.729736328125
35,3,2593.804443359375
35,4,3423.65185546875
35,5,3028.50341796875
35,6,2064.360595703125
35,7,2862.68359375
35,8,2881.282958984375
35,9,3095.02880859375
35,10,2999.55810546875
35,11,2887.465087890625
35,12,3315.422119140625
35,13,3359.968994140625
35,14,3176.585205078125
35,15,3525.571533203125
35,16,2344.3193359375
35,17,2747.7978515625
35,18,2891.454833984375
35,19,3485.2548828125
35,20,3375.33447265625
35,21,2119.9326171875
35,22,2684.4482421875
35,23,2986.6982421875
35,24,2487.493896484375
35,25,2700.229248046875
36,1,2489.9443359375
36,2,3029.560302734375
36,3,3042.47314453125
36,4,3029.60009765625
36,5,3415.453125
36,6,3213.059326171875
36,7,3397.8466796875
36,8,2742.60498046875
36,9,2780.302734375
36,10,2834.363525390625
36,11,3303.72900390625
36,12,3471.2294921875
36,13,2887.58984375
36,14,3241.722900390625
36,15,3336.138671875
36,16,3317.160400390625
36,17,2773.876953125
36,18,3162.93994140625
36,19,2874.59130859375
36,20,2580.613525390625
36,21,2262.327880859375
36,22,3057.140869140625
36,23,3213.369384765625
36,24,3230.94091796875
36,25,2990.196533203125
37,1,3446.42919921875
37,2,3050.01806640625
37,3,2943.69775390625
37,4,3384.388916015625
37,5,3097.267578125
37,6,3271.640625
37,7,2990.134521484375
37,8,3196.15234375
37,9,2873.467529296875
37,10,3092.56591796875
37,11,3239.138427734375
37,12,2832.38525390625
37,13,3346.665771484375
37,14,3403.02978515625
37,15,3164.914794921875
37,16,3186.432861328125
37,17,2795.260009765625
37,18,3012.37939453125
37,19,2695.23486328125
37,20,2353.8017578125
37,21,3279.590576171875
37,22,2871.8505859375
37,23,2881.769775390625
37,24,3325.50634765625
37,25,2955.70458984375
38,1,2500.66357421875
38,2,2947.23974609375
38,3,3352.369140625
38,4,2985.5966796875
38,5,3053.64990234375
38,6,3344.490478515625
38,7,3020.55615234375
38,8,2908.31396484375
38,9,2228.71435546875
38,10,2901.444580078125
38,11,3141.83203125
38,12,2716.41259765625
38,13,3007.1240234375
38,14,3595.11669921875
38,15,2901.8984375
